#厦大新闻学教授谈张雪峰言论#,Query time: 2023-12-24 15:21:59,likes
说的是普通家庭别学，教授们破防什么？ ,2023-06-18 23:55,0
怎么没见四大天坑、两大护法、心理学、各种语种的教授来踩呢，偏偏就新闻学教授一个个往外跳呢有本事不用正地方，搞这个一套一套的 ,2023-06-18 23:55,21
笑没完了哦哟哟教授来反驳了撒但为啥子我更相信张了捏,2023-06-18 23:55,1
没有扭斯自由去学新闻学不是在搞笑吗 ,2023-06-18 23:54,0
咱们就是说 大家都不要考新闻了 24考研让我一个人去考就好,2023-06-18 23:54,3
从川大的事情来看，新闻专业早就是近亲繁殖的温床，如果亲戚朋友是温床中的一员，那可以报。如果是这个银趴的局外人，最好捂着鼻子走开。 ,2023-06-18 23:54,0
咱们就是说现在还有人信他的话就离谱 ,2023-06-18 23:54,3
【🤔️】2023年高考志愿填报，新闻学成功接替“生化环材”，于滔天舆论中扛下了“天坑专业”的标签。网红考研名师张雪峰因一句“孩子非要报新闻学，一定会把他打晕”的言论引起热议，又在重庆大学新闻传播学教授张小强指责其“误导公众”、“吃着传播饭，砸着传播锅”后 【🤔️】2023年高考志愿填报，新闻学成功接替“生化环材”，于滔天舆论中扛下了“天坑专业”的标签。网红考研名师张雪峰因一句“孩子非要报新闻学，一定会把他打晕”的言论引起热议，又在重庆大学新闻传播学教授张小强指责其“误导公众”、“吃着传播饭，砸着传播锅”后达到巅峰。双方观点各有支持者。有人力挺张雪峰，普通人家的孩子试错机会和成本少，选专业本就应该更慎重。也有人针锋相对称，任何专业都有人抱怨，“听见蝲蝲蛄叫还能不种庄稼了”？（来源｜）以下为评论全文（评论员杨月涵）：2023年高考志愿填报，新闻学成功接替“生化环材”，于滔天舆论中扛下了“天坑专业”的标签。近日，网红考研名师张雪峰因一句“孩子非要报新闻学，一定会把他打晕”的言论引起热议，又在重庆大学新闻传播学教授张小强指责其“误导公众”、“吃着传播饭，砸着传播锅”后达到巅峰。双方观点各有支持者。有人力挺张雪峰，普通人家的孩子试错机会和成本少，选专业本就应该更慎重。也有人针锋相对称，任何专业都有人抱怨，“听见蝲蝲蛄叫还能不种庄稼了”？围观当事双方的几轮观点交锋，看似是对“新闻学专业是否值得报考”的激烈探讨，但核心概念早已背道而驰——张雪峰说的更像是生活，而张小强强调的则更多是学科本身。从这个意义上看，无论是张雪峰“出身普通老百姓”的视角，还是张小强“新闻传播是好专业，也看好其前景”的结论，都没有绝对的对错之分。不巧的只是，普通人对“生活”问题的探讨欲望，往往要远大于对枯燥学科的探讨。类似的情况并不罕见。2021年，武汉大学邓红兵教授为“天坑专业”正名，舆论毁誉参半。2022年，因被指责多是“天坑”专业，西湖大学校长施一公不得不亲自下场回应。那时候，“天坑”的标签，还牢牢贴在“生化环材”的身上。志愿填报“避坑”之所以常说常新，大多会被归结于“有梦想之前，要先填饱肚子”的铁律。选专业似乎成了一件要月亮还是要六便士的单选题，被人为地蒙上了一层梦想和现实不可兼得的凄凉色彩。不同的时代发展阶段，可能会造就不同的“王者”专业，“天坑”之说也必然随之出现。往前倒推20年，新闻不也经历过所谓的黄金时期吗？我们不能否认当下某些专业直接关联的“钱景”逊色，但这并不足以成为全盘否定某个专业的理由。“天坑”之说之所以盛行，无外乎负面情绪更容易聚焦，也更容易被放大。劝人学医、天打雷劈，劝人学法、千刀万剐，类似调侃不胜枚举，但真论起来，无论是生化环材，还是医学法律，也没有哪一个专业真正面临关门危机。就像学新闻不一定等于做记者，学什么、做什么以及做好什么，从来都不是绝对的因果关系。在兴趣的基础上适当考虑现实因素无可厚非，但若因所谓的“天坑”之说一叶障目，又多少有些顾此失彼。既然没有哪种专业、哪种工作能够让所有人满意，不妨凭着本心，所有经历皆是成长，适合自己的才是最好的。至于工作，起码是四年之后的事情，那时候的形势之变，谁又说得准呢。“我有两个女儿和一个儿子，他们从来不听我建议。”。上个月，面对“给年轻人提建议”的问题，诺贝尔物理学奖得主丁肇中这句幽默的回应获得满堂喝彩。后来在接受采访时，回忆起母亲一开始也不相信他能学好物理的事情，丁肇中说：“一个人在世界上只走一次，我应该照我的兴趣来做。”。北京商报评论员 杨月涵,2023-06-18 23:53,3
这些教授们真的不懂那些现实？真的在维护这个专业的地位吗？他们只是不喜欢没有普通老百姓家的孩子陪跑罢了！太赤裸裸显示不出他们的优越感！ ,2023-06-18 23:52,7
支持教授张雪峰这苗头怎么和郭德纲似的，又被主流打压啦,2023-06-18 23:52,3
网友锐评:在蜡烛的时代，电灯的出现是一种罪张雪峰的话可以信，因为说出了真相，专家的话不能信，因为他在表达理想 ,2023-06-18 23:51,2
本质上，阶级的鸿沟。夏大教授，65岁都不用退休。穷人家的孩子，选不好专业，毕业即失业！张雪峰至少说真话，让底层人靠读书能混口饭吃！ ,2023-06-18 23:51,23
不用说站谁支持谁，谁在放屁这种话……两个人说的都很中肯了，人家给你提供一大堆他自己的世界观，你得找自己的方法论啊，整天在互联网骂骂咧咧干什么呢按照自己的实际状况来走自己的路就好了，还指望蜉蝣撼大树吗，又改变不了啥,2023-06-18 23:50,2
新传学子想说：新传你不亏是新传，网上舆论风波不断 ,2023-06-18 23:50,7
坐在自媒體直播間，用自己熟悉和了解的就業資訊分析，給迷茫中的考生和家長一針見血的務實建議的張雪峰，和在大學課堂上傳道授業解惑的各路大學教授，都是當下需要的，只是各自服務的對象不同，解決問題的方式方法不同，存在的價值也不同，沒有誰比誰更重要，也就沒有必要 坐在自媒體直播間，用自己熟悉和了解的就業資訊分析，給迷茫中的考生和家長一針見血的務實建議的張雪峰，和在大學課堂上傳道授業解惑的各路大學教授，都是當下需要的，只是各自服務的對象不同，解決問題的方式方法不同，存在的價值也不同，沒有誰比誰更重要，也就沒有必要誰一定要排斥誰。,2023-06-18 23:49,7
和围观几天下来真的很有意思。不是正经辩论赛，因为没有哪家辩论是对手气势汹汹站起来拍桌，但是字字句句就像是拿错了稿子，进球但是进了对家球门。张雪峰自从开直播给学生家长提供报考指导开始，不建议大家报的专业多了去了 和围观几天下来真的很有意思。不是正经辩论赛，因为没有哪家辩论是对手气势汹汹站起来拍桌，但是字字句句就像是拿错了稿子，进球但是进了对家球门。张雪峰自从开直播给学生家长提供报考指导开始，不建议大家报的专业多了去了，好多专业说的可比这难听多了，斩钉截铁铿锵有力恨不得列个天坑专业名单甩家长脸上“以后不想让孩子恨你就别报这个专业。”诸如此类。但是唯独在新闻这里炸了窝，很有意思。张雪峰说别的专业不好，除了连线的学生和家长，要考虑未来前程以外，看客之中也没人在意，被点名的专业更不会理会。但是张雪峰作为自媒体人说新闻不好，因为他在践行传播，他在走以前只有新闻媒体才有资格走的路，就是发声——影响——传播。现在技术迭代太快了，技术更新就意味着传播形式必须跟上节奏，快得目不暇接。连身处传播第一线的传统媒体都已经跟不上技术更新，已经逐渐要被市场甩出棋局，更不用说象牙塔里还守着几十年前的教材在慢吞吞上课的新闻专业。三体人的舰队都要路过流浪中的地球了，地球人还在伸着指头从一个字一个字地点读牛顿被苹果砸了一下故事学起物理既视感。尤其是新的这篇小作文，这位新闻系的教授开篇第一句“首先我不建议把谁打晕，因为打晕了就真的不清醒了”老天，理性地说可以理解这位教授是想展现自己是有点幽默的，但是给了我一种50后长辈把我发的表情包当成我在回复的感觉。有点自以为的幽默，但不多，甚至有点陈旧的荒诞。通篇看下来，核心只有一个：你不懂我我不怪你，我甚至还要呼吁旁观者不要怪你不懂事。这位新闻系的教授应该和上一位专业不对口的新闻系教授不一样，至少本硕博都是文史哲类，他的文字甚至有声音，那种语调慢吞吞还拖了长音，穿着棉麻长衫的老学究的声音。“我便考一考你，茴香豆的茴，怎样写？”“回字有四样写法，你知道么？”,2023-06-18 23:49,587
只能说越来越觉得大学的一些导员和老师比学生更没接受过社会的毒打，天天让你好好学习,2023-06-18 23:49,0
当我们在职场中谈“媒体/传媒”我们谈的是运营营销（东拼西凑 剽窃捏造 蹭热点引流/花钱买流量 蒙爆款）当我们谈“新闻”我们谈的是内容创作/坚守原则/人文关怀/秉持细节/专业而有温度 then my questions are ：A. 内容为王的时代过去多少年了？B. 现今的内容传播在多大程 当我们在职场中谈“媒体/传媒”我们谈的是运营营销（东拼西凑 剽窃捏造 蹭热点引流/花钱买流量 蒙爆款）当我们谈“新闻”我们谈的是内容创作/坚守原则/人文关怀/秉持细节/专业而有温度 then my questions are ：A. 内容为王的时代过去多少年了？B. 现今的内容传播在多大程度上能独立于平台一切为了流量的流氓规则？C. 谈谈实操中的内容审查？D. 谈谈您对新闻业实践中在该谈物质保障时却向青年人呼吁理想之普遍情况的观点？或，“新闻业”还存在吗？F. 请简述如何在上述规则中挣到相对不那么dirty 的money 。如真有解法，我会感谢你,2023-06-18 23:48,4
新传顶尖985就业肯定是好的，即使是普通家庭，孩子热爱完全可以选。如果是二本甚至专科去学新传我觉得真的没什么必要。 ,2023-06-18 23:48,6
可是我觉得张雪峰的言论很对，尤其我毕业之后感觉他说的更对了！ ,2023-06-18 23:48,2
赶快都别来我考研还能轻松点,2023-06-18 23:47,7
悲哀的是有一些地区的有一些孩子，蒙头学了十余年，用一周的时间选了4年的专业。一直在秉承着“上了大学就好了，就放松了”的观点。殊不知大学和大学之间的差异，自身做事情的程度和深度与收获之间的关系。当时2020年报考我也看了张雪峰老师网上的一些视频，我现在在学四 悲哀的是有一些地区的有一些孩子，蒙头学了十余年，用一周的时间选了4年的专业。一直在秉承着“上了大学就好了，就放松了”的观点。殊不知大学和大学之间的差异，自身做事情的程度和深度与收获之间的关系。当时2020年报考我也看了张雪峰老师网上的一些视频，我现在在学四大天坑的左膀右臂机械专业，人人都说是打螺丝进厂，诚然现实可能如此，但人家985的好学校的机械人进的是什么厂呢，航天某院..等。没人说这些，只是用着刻板印象来为不懂的普罗大众宣传，讲着固然有道理但也不极致正确的言论。学姐怼过我一句话“就知道问老师，他去过现场调研吗？他在那上过班吗？都是道听途说”我觉得悲哀的是信息差的不同，是阶级的不同，是资源的不同。有的孩子出生就在上机器人启蒙课，有的人上高中了英语单词也不认识几个。新闻学如何我不知道，我只知道普罗大众要越入自己想要的上一层级要掉一层皮。,2023-06-18 23:47,8
邹老师客观理智的分析又不失作为专业教师的反思，令人佩服。我们都太过浮躁了，不管是在选择专业还是职业道路上，更多的考虑是待遇怎么样，薪资怎么样，稳定性怎么吗？而鲜少有人真正关注这份工作，我，喜欢吗。想起来为了讲座单和机构的人聊天，当我说出我想学xx专业是因 邹老师客观理智的分析又不失作为专业教师的反思，令人佩服。我们都太过浮躁了，不管是在选择专业还是职业道路上，更多的考虑是待遇怎么样，薪资怎么样，稳定性怎么吗？而鲜少有人真正关注这份工作，我，喜欢吗。想起来为了讲座单和机构的人聊天，当我说出我想学xx专业是因为“喜欢，觉得有趣”时，对方拍起了手掌并给予了赞许的言论，当时看到这个反应一下子很奇怪，愣了一下反应过来，对啊，多少人在做的工作自己都不知道是为了什么，一窝蜂地考研考公，考研的人有多少是真的想深造（想起来辅导员为了就业率劝我不要二战的时候问我，考研最终不为了就业吗，我没有当即反驳，只是在想，为什么大家都这么想，我想考研只是因为我觉得这个专业很有趣，想深入了解深入学习啊），考公的人又有多少是为了为人民服务啊。但是，一切都在推着我们，我们不过是时代的顺应者，能怎么办呢。拥有了诗和远方的人不应该阻止别人执于现实的苟且，努力生活的人也不应该失去诗和远方的向往。,2023-06-18 23:47,3
国内媒体和新闻沾边吗除了蹭热度、博眼球造谣跟风 我实在想不出国内对新闻学到底学在什么有价值的地方了,2023-06-18 23:47,0
网红言论，真当真你就无知了 ,2023-06-18 23:46,0
你们媒体工作者一天天忙着在网上吃人x馒头呢，这位教授不点评一下，不反思一下？全世界如果只剩一个郭嘉的媒体不是郭嘉喉舌，那这个郭嘉恐怕就是老钟了，这位教授您说对吗？ ,2023-06-18 23:46,5
我心里默默地算了算，我们班还坚持本专业的同学的人数:1个2个，再加上沾点边的，可能有4个。所以，不管哪个专业，从事本专业的人都不会是全部。 ,2023-06-18 23:46,1
把一个咨询的个案（理科生590普通家庭）拿出来断章取义博眼球，现在新闻系教授都是这么教学生的么,2023-06-18 23:46,44
说句新闻已死，应该不是什么新文吧,2023-06-18 23:45,0
害 ，张雪峰不说的挺对的嘛，我跟你谈填饱肚子，你给我谈理想抱负，没在一个频道 ,2023-06-18 23:45,0
我觉得很荒诞的一个点在于 他们双方竟然都觉得这个形势下的文科生有的选,2023-06-18 23:45,0
普通人木有富贵命，没有那么理想化。。 ,2023-06-18 23:45,0
其实你慢慢大了就会明白张雪峰说的都是大实话 ,2023-06-18 23:45,3
保护张雪峰老师！既得利益者别整天🐶叫，没人在意你的意见,2023-06-18 23:45,3
大学新闻学专业与就业之争的后续。张雪峰发布有个朋友对于新闻传播类专业的建议：,2023-06-18 23:44,182
虽然但是，学新闻的人没有新闻理想应该有什么呢？各行各业都有所谓的“好人”和“坏人”，难道就因为那么无良媒体，就一棍子将新闻专业打死吗？而且在这个人人皆媒的时代，任何人都可以是自媒体，那那些自媒体的脏水也要泼到新闻业身上吗？邹教授有新闻理想，他也爱着 虽然但是，学新闻的人没有新闻理想应该有什么呢？各行各业都有所谓的“好人”和“坏人”，难道就因为那么无良媒体，就一棍子将新闻专业打死吗？而且在这个人人皆媒的时代，任何人都可以是自媒体，那那些自媒体的脏水也要泼到新闻业身上吗？邹教授有新闻理想，他也爱着他的学生，也对新闻业有所反思，事实上，近几年新闻业的发展问题一直在业界被讨论，难道因为它目前存在一些问题，就要一味否认它吗张老师也说的很对，选择专业应该按照自己的实际情况去选择，但是一些网友真的没必要一棍子把新闻业打死,2023-06-18 23:43,0
新闻学教授利益相关，很难客观。前两天那个教授说他学生很多都是从事了非对口工作,2023-06-18 23:42,1
支持张雪峰老师！ ,2023-06-18 23:41,0
这位教授还说了几句实话。真实情况就是不少大学新闻传播学的教授们水平低和时代需求脱节。你们能研究出一个让传统媒体切实可行的融合转型方向吗？反正我没看到。有些地方按专家教授的指导融过。融得一塌糊涂最后又分开了。你们能研究出相对独立的媒体理论吗？别一天到 这位教授还说了几句实话。真实情况就是不少大学新闻传播学的教授们水平低和时代需求脱节。你们能研究出一个让传统媒体切实可行的融合转型方向吗？反正我没看到。有些地方按专家教授的指导融过。融得一塌糊涂最后又分开了。你们能研究出相对独立的媒体理论吗？别一天到晚跟在美国专家后面吃残羹冷炙好吗？人家搞数字人，你们写数码人，人家提分解真相，你们就搞真相解构，我最近在写论文，我看了都无语。现实中我遇到过很有水平的传播学教授那是因为他真的很愿意和我们一线交流很愿意跑到最前线去一起实践。这种教授很少。有的教授荣誉一堆给我上新闻传播学和舆论培训，我问他用过微博吗没有，用过抖音吗没有，用过头条吗没有。那你用过什么，朋友圈算不算？我问他你怎么看认知介入，他说那是阴谋论，你怎么看目前的舆论战问题是他说那是军方的事。怎么看媒体融合，他说不能硬融合也不能不融合，说了一堆套话。等于没说。这还是985大学很牛逼的教授。后面的什么舆情我都不想问了。一个连社交媒体都不看的人知道什么网络舆情？传播学最牛逼的专家出现在微博过，可惜自己引发舆情自己发生舆论危机，他没能力应对，只能跑路。不是要求所有教授要去当网红，你起码要多去媒体单位调研要去尝试下社交媒体吧。现在最有意思的现象是这些教授很少去媒体蹲点。媒体里出来的人也极少能去高校教书。产学研脱节的地方多。所以谦虚点没错。你啥时能构建起如俄罗斯法国那种独立的传播理论体系再来叫吧,2023-06-18 23:41,1495
就是一个网红 ,2023-06-18 23:41,0
哪有那么多人有试错的资本啊 普通人报专业就是要思考这份专业能不能养活自己啊 面包都买不起了还谈什么理想,2023-06-18 23:41,1
这种现象到处都是，一天医校都没有进过、成天说不到点子上的养生博主，在微博的粉丝量和话言权让很多真正的专家只能望洋兴叹...... ,2023-06-18 23:40,1
大部分人学专业是要用来就业的，去深造到只是少部分，那就请这几位反驳张老师的教授们分享一下自己从2018年到2023年间所毕业学生的去向吧，这个专业到底好不好一目了然,2023-06-18 23:40,2
真的建议专家，教授之类的不要建议，谈xxx ,2023-06-18 23:40,2
理科590不建议学新闻，教授应该证明的是其他专业没有新闻专业好所以建议学新闻，而不是单纯说新闻专业有多好。基本逻辑，选择一个东西不是因为有好处，而是好处大于坏处，找最优选。 ,2023-06-18 23:40,2
新闻学专业未来前景，听起来像是一个让人欢笑又让人忧伤的话题。新闻学专业的学生毕业后可以成为记者、编辑、媒体策划、广告创意人员、新闻主播等多个职业，真是让人感到兴奋和激动。这些职业不仅可以给人带来无限创意和灵感，还可以获得更多的机会和收获。想象一下，我 新闻学专业未来前景，听起来像是一个让人欢笑又让人忧伤的话题。新闻学专业的学生毕业后可以成为记者、编辑、媒体策划、广告创意人员、新闻主播等多个职业，真是让人感到兴奋和激动。这些职业不仅可以给人带来无限创意和灵感，还可以获得更多的机会和收获。想象一下，我们可以在电视上看到自己的新闻报道，或者在社交媒体上分享自己的新闻作品，那该是多么酷炫的事情啊！但是，新闻行业正在面临着前所未有的挑战和变革。随着数字技术和社交媒体的兴起，新闻行业的商业模式和盈利方式正在发生翻天覆地的变化。许多传统媒体正在面临着生存危机，而新兴媒体则正在迅速崛起。这对于新闻学专业的学生来说，无疑是一个巨大的挑战。此外，新闻行业也存在着一些道德和伦理问题。例如，随着新闻行业的竞争日益激烈，一些机构媒体或自媒体可能会采取一些不道德的手段来获取新闻报道的优势。这不仅会损害新闻行业的形象和信誉，还会对新闻来源和新闻当事人的权益造成损害。如果你有志于从事新闻行业，那么你需要保持一颗乐观向上的心态，同时也需要不断地学习和成长，以应对新闻行业变革和发展的挑战。,2023-06-18 23:39,11
新闻专业挺有用的吧，比如四川大学，学生还未入学，就已经引爆社会舆论了！,2023-06-18 23:39,0
呜呜，我的梦导,2023-06-18 23:39,0
一个新闻传播学专业的老师，如果他上的课没人听，写的文章没人看，人家有理由怀疑：你，真的懂传播吗？当然，不排除真的有这样的学者，他的课没人选，他的文章没人看，却的确是货真价实的大学问家。不过，让人家弱弱地怀疑一下，再按下确认键，还是应该允许的。这不是要 一个新闻传播学专业的老师，如果他上的课没人听，写的文章没人看，人家有理由怀疑：你，真的懂传播吗？当然，不排除真的有这样的学者，他的课没人选，他的文章没人看，却的确是货真价实的大学问家。不过，让人家弱弱地怀疑一下，再按下确认键，还是应该允许的。这不是要求教新闻传播的老师都必须成为网红，正如不能要求苏炳添的教练跑得过苏炳添。但新闻传播学界脱离实际、脱离业界的现象，理应警惕。学术界自嗨自乐的现象，在很多学科都存在。如今在一些学术群里，有一个怪现象，如果谁在顶级刊物发表了一篇文章，大家纷纷祝贺，但鲜有人关心这位学者，到底有了什么发现？提出了什么不一样观点？推动了什么理论创新？如果这位学者不过是又发表了一篇正确的废话，我为他悲哀；如果这位学者真的有思想有创见，我更为他悲凉。这和我们在20世纪80年代读书的时候很不一样，那时候无论是老师还是师生，谁关心你发什么刊物啊，大家热烈讨论的都是李泽厚又提出了什么理论，林兴宅又发表了什么新见。新闻理想过于理想，考研比例真的很卷，求职之路难免艰难——对于新闻传播专业的老师，这是我们个人难以改变却无法回避的现实，我们不必画饼，无须承诺，更不要轻佻背书，除了尊重考生与家长现实的关切与考量，剩下唯一可做的就是：想起那些或无怨无悔，或误打误撞，却用超高分数考进新闻传播专业的学生，我们每一次走上讲台，都要摸摸自己的良心，对得起台下那一双双闪闪亮亮的眼睛吗？,2023-06-18 23:39,1
如果真是推心置腹的谈，就要把该专业毕业生就业率，薪资水平，及毕业后五年、十年乃至更久发展回访调查等数据全部摆出来。不要空谈，不要举特例。绝大多数都是普通人，普通家庭。 ,2023-06-18 23:39,2
何不食肉糜也好，屁股决定脑袋也行。我相信很多新闻学子在选择这个专业前都有自己心中的新闻理想，只不过是现实磨灭了最初的信仰。但是我们无论如何也不要去浇灭那些理想主义者的光，万一那束光照亮了黑暗呢。之前每年有人问我该不该选择新闻这个专业的时候，我都会和 何不食肉糜也好，屁股决定脑袋也行。我相信很多新闻学子在选择这个专业前都有自己心中的新闻理想，只不过是现实磨灭了最初的信仰。但是我们无论如何也不要去浇灭那些理想主义者的光，万一那束光照亮了黑暗呢。之前每年有人问我该不该选择新闻这个专业的时候，我都会和他们说你喜欢吗，你如果热爱可以报，你好好思考自己选择，之后不会为自己的选择后悔就行。其实我还是很喜欢那时候有着新闻理想的我，而不是现在充满功利的利己主义的我。,2023-06-18 23:39,1
,2023-06-18 23:37,0
人家没说专业不邢，是普通家庭的孩子不建议选这个专业，就跟你教授的孩子，你不希望他去开挖掘机是一个道理，但开挖掘机好歹是门手艺，新闻学他得多有实力才能混出头，你们这些教授学者好不好也结合一下自身背景拿出来讨论一番，我们看看有几个是普通人家孩子 ,2023-06-18 23:37,1
麻烦这些专家学者在批判别人的时候，能不能去看下人家完整视频到底是怎么说的。再说了，现在还有敢说真话，实事求是的新闻媒体吗，都学的这么断章取义，误导大众，确实是没啥未来。 ,2023-06-18 23:37,0
张雪峰老师是给一个高考分数是590分的学理科的普通家庭孩子报专业的真诚建议，还真有人坐不住了不都是新闻学教授嘛，能不能了解一下具体 ,2023-06-18 23:36,0
这两年对某些新闻媒体人真的没有什么好印象，以前的新闻媒体都是实事求是，真实可靠。现在不以讹传讹，不恶意煽动网络暴力的都罕见了吧。 ,2023-06-18 23:36,0
